timestamp,open,high,low,close,volume
2020-07-17 19:25:00,125.4800,125.4800,125.4800,125.4800,100
2020-07-17 19:02:00,125.2400,125.2400,125.2400,125.2400,200
2020-07-17 18:58:00,125.2400,125.2400,125.2400,125.2400,110
2020-07-17 18:56:00,125.4000,125.4000,125.3000,125.3000,938
2020-07-17 18:37:00,125.3000,125.3000,125.3000,125.3000,248
2020-07-17 18:34:00,125.3000,125.3000,125.3000,125.3000,100
2020-07-17 18:33:00,125.3000,125.3000,125.3000,125.3000,152
2020-07-17 18:31:00,125.3500,125.3500,125.3500,125.3500,147
2020-07-17 18:30:00,125.3500,125.3500,125.3000,125.3000,1205
2020-07-17 18:12:00,125.3000,125.3000,125.3000,125.3000,500
2020-07-17 17:56:00,125.0800,125.0800,125.0800,125.0800,1001
2020-07-17 17:23:00,125.1100,125.1100,125.1100,125.1100,400
2020-07-17 17:11:00,125.0500,125.0500,125.0500,125.0500,141
2020-07-17 17:02:00,125.0000,125.0000,125.0000,125.0000,131
2020-07-17 16:44:00,125.0200,125.0200,125.0200,125.0200,100
2020-07-17 16:29:00,125.0800,125.0800,125.0800,125.0800,172
2020-07-17 16:27:00,125.1100,125.1100,125.1100,125.1100,698
2020-07-17 16:19:00,125.1100,125.1100,125.1100,125.1100,1056
2020-07-17 16:06:00,125.1098,125.1098,125.1098,125.1098,509
2020-07-17 16:01:00,125.1200,125.1200,125.1100,125.1100,54772
2020-07-17 16:00:00,125.3200,125.3200,125.1200,125.1200,57186
2020-07-17 15:59:00,125.3700,125.3700,125.2400,125.3100,42528
2020-07-17 15:58:00,125.4150,125.4150,125.3000,125.3600,45665
2020-07-17 15:57:00,125.3000,125.4200,125.2600,125.4200,33520
2020-07-17 15:56:00,125.2150,125.3200,125.2100,125.3000,30298
2020-07-17 15:55:00,125.2400,125.2555,125.2100,125.2100,16775
2020-07-17 15:54:00,125.4400,125.4400,125.2100,125.2400,37727
2020-07-17 15:53:00,125.3350,125.4600,125.3100,125.4400,29273
2020-07-17 15:52:00,125.3000,125.3500,125.2800,125.3500,16090
2020-07-17 15:51:00,125.4200,125.4300,125.2650,125.3100,32815
2020-07-17 15:50:00,125.4000,125.4500,125.3700,125.4300,16455
2020-07-17 15:49:00,125.3100,125.3900,125.2750,125.3900,19693
2020-07-17 15:48:00,125.4438,125.4800,125.3100,125.3100,35944
2020-07-17 15:47:00,125.4200,125.4500,125.3550,125.4350,22913
2020-07-17 15:46:00,125.4300,125.4500,125.4200,125.4200,20913
2020-07-17 15:45:00,125.3950,125.4800,125.3950,125.4350,31670
2020-07-17 15:44:00,125.3882,125.4000,125.3500,125.3950,15525
2020-07-17 15:43:00,125.3000,125.3900,125.3000,125.3900,13614
2020-07-17 15:42:00,125.3200,125.3600,125.3000,125.3050,17052
